COST_ID,PROJECT_ID,COST_DATE,DUE_DATE,VENDOR_NAME,COST_TYPE,CATEGORY,INVOICE_AMOUNT,PAID_AMOUNT,STATUS,APPROVER,PAYMENT_METHOD,COST_CODE
JC-001,P003,2026-01-10,2026-02-09,Rocky Mountain Framing LLC,SUBCONTRACTOR,Framing,85000.00,85000.00,PAID,Sarah Johnson,CHECK,06-Framing
JC-002,P005,2026-01-15,2026-02-14,Continental Steel Supply,MATERIAL,Steel,128000.00,128000.00,PAID,James Wilson,WIRE,05-Steel
JC-003,P001,2026-01-20,2026-02-19,Peak Electric Co,SUBCONTRACTOR,Electrical,8500.00,8500.00,PAID,Mike Davis,CHECK,16-Electrical
JC-004,P004,2026-01-25,2026-02-24,Front Range Concrete,MATERIAL,Concrete,22000.00,22000.00,PAID,Emily Chen,ACH,03-Concrete
JC-005,P006,2026-02-01,2026-03-03,High Plains HVAC,SUBCONTRACTOR,HVAC,58000.00,58000.00,PAID,Sarah Johnson,CHECK,15-Mechanical
JC-006,P009,2026-02-05,2026-03-22,Apex Equipment Rental,EQUIPMENT,Equipment,32000.00,32000.00,PAID,Emily Chen,ACH,01-GenReq
JC-007,P010,2026-02-10,2026-03-12,Mountain Lumber Co,MATERIAL,Framing,45000.00,45000.00,PAID,James Wilson,CHECK,06-Framing
JC-008,P013,2026-02-15,2026-04-16,Summit Concrete Works,SUBCONTRACTOR,Concrete,95000.00,95000.00,PAID,Robert Brown,WIRE,03-Concrete
JC-009,P007,2026-02-20,2026-03-22,Peak Electric Co,SUBCONTRACTOR,Electrical,6500.00,6500.00,PAID,Mike Davis,CHECK,16-Electrical
JC-010,P008,2026-02-25,2026-03-27,Colorado Roofing Inc,SUBCONTRACTOR,Roofing,48000.00,48000.00,PAID,Robert Brown,ACH,07-Roofing
JC-011,P015,2026-03-01,2026-03-31,Front Range Painting,SUBCONTRACTOR,Painting,16000.00,16000.00,PAID,James Wilson,CHECK,09-Finishes
JC-012,P003,2026-03-05,2026-04-04,Apex Equipment Rental,EQUIPMENT,Equipment,24000.00,24000.00,PAID,Robert Brown,ACH,01-GenReq
JC-013,P001,2026-03-10,2026-04-09,Denver Drywall Pro,SUBCONTRACTOR,Drywall,65000.00,65000.00,PAID,Mike Davis,CHECK,09-Finishes
JC-014,P012,2026-03-15,2026-04-14,Rocky Mountain Plumbing,SUBCONTRACTOR,Plumbing,38000.00,38000.00,PAID,Mike Davis,CHECK,15-Mechanical
JC-015,P009,2026-03-20,2026-05-04,State Electrical Contractors,SUBCONTRACTOR,Electrical,28000.00,28000.00,PAID,Emily Chen,WIRE,16-Electrical
JC-016,P005,2026-03-25,2026-05-09,Colorado Concrete Co,SUBCONTRACTOR,Concrete,88000.00,88000.00,PAID,James Wilson,ACH,03-Concrete
JC-017,P011,2026-04-01,2026-05-01,Front Range Concrete,MATERIAL,Concrete,62000.00,62000.00,PAID,Sarah Johnson,CHECK,03-Concrete
JC-018,P006,2026-04-05,2026-05-05,Alpine Flooring Co,SUBCONTRACTOR,Flooring,32000.00,32000.00,PAID,Sarah Johnson,ACH,09-Finishes
JC-019,P010,2026-04-10,2026-05-10,Vail Stone Works,MATERIAL,Masonry,58000.00,58000.00,PAID,James Wilson,CHECK,04-Masonry
JC-020,P004,2026-04-15,2026-05-15,Denver Interior Systems,SUBCONTRACTOR,Drywall,35000.00,35000.00,PAID,Emily Chen,ACH,09-Finishes
JC-021,P008,2026-04-20,2026-05-20,Front Range Electrical,SUBCONTRACTOR,Electrical,12000.00,12000.00,PAID,Robert Brown,CHECK,16-Electrical
JC-022,P015,2026-04-25,2026-05-25,Jefferson Mechanical,SUBCONTRACTOR,HVAC,52000.00,52000.00,PAID,James Wilson,WIRE,15-Mechanical
JC-023,P003,2026-05-01,2026-06-15,Colorado Plumbing Pros,SUBCONTRACTOR,Plumbing,72000.00,72000.00,PAID,Robert Brown,ACH,15-Mechanical
JC-024,P013,2026-05-05,2026-07-04,Continental Steel Supply,MATERIAL,Steel,165000.00,165000.00,PAID,Robert Brown,WIRE,05-Steel
JC-025,P001,2026-05-01,2026-05-31,Peak Electric Co,SUBCONTRACTOR,Electrical,52000.00,0.00,PENDING,Mike Davis,CHECK,16-Electrical
JC-026,P007,2026-05-05,2026-06-04,Colorado Roofing Inc,SUBCONTRACTOR,Roofing,42000.00,0.00,PENDING,Mike Davis,ACH,07-Roofing
JC-027,P012,2026-05-08,2026-06-07,Front Range Painting,SUBCONTRACTOR,Painting,20000.00,0.00,PENDING,Mike Davis,CHECK,09-Finishes
JC-028,P013,2026-05-10,2026-06-09,Summit Concrete Works,SUBCONTRACTOR,Concrete,112000.00,0.00,PENDING,Mike Davis,WIRE,03-Concrete
JC-029,P001,2026-05-12,2026-06-11,Denver Drywall Pro,SUBCONTRACTOR,Drywall,35000.00,0.00,PENDING,Mike Davis,CHECK,09-Finishes
JC-030,P009,2026-05-14,2026-06-28,State Electrical Contractors,SUBCONTRACTOR,Electrical,38000.00,0.00,PENDING,Mike Davis,WIRE,16-Electrical
JC-031,P007,2026-05-16,2026-06-15,High Plains HVAC,SUBCONTRACTOR,HVAC,41000.00,0.00,PENDING,Mike Davis,CHECK,15-Mechanical
JC-032,P006,2026-05-01,2026-05-31,Denver Glass and Glazing,SUBCONTRACTOR,Glazing,32000.00,0.00,PENDING,Sarah Johnson,CHECK,08-Glazing
JC-033,P011,2026-05-05,2026-06-19,Rocky Mountain Concrete,SUBCONTRACTOR,Concrete,82000.00,0.00,PENDING,Sarah Johnson,ACH,03-Concrete
JC-034,P002,2026-05-08,2026-06-22,Bridge Structural Inc,SUBCONTRACTOR,Steel,148000.00,0.00,PENDING,Sarah Johnson,WIRE,05-Steel
JC-035,P004,2026-05-01,2026-05-31,Front Range Electrical,SUBCONTRACTOR,Electrical,15000.00,0.00,PENDING,Emily Chen,CHECK,16-Electrical
JC-036,P009,2026-05-05,2026-06-19,Apex Equipment Rental,EQUIPMENT,Equipment,38000.00,0.00,PENDING,Emily Chen,ACH,01-GenReq
JC-037,P008,2026-05-08,2026-06-07,Colorado Medical Millwork,SUBCONTRACTOR,Millwork,62000.00,0.00,PENDING,Emily Chen,WIRE,06-Millwork
JC-038,P010,2026-05-01,2026-05-31,Vail Custom Tile,SUBCONTRACTOR,Flooring,45000.00,0.00,PENDING,James Wilson,CHECK,09-Finishes
JC-039,P015,2026-05-05,2026-06-04,Denver Interior Systems,SUBCONTRACTOR,Drywall,28000.00,0.00,PENDING,James Wilson,ACH,09-Finishes
JC-040,P005,2026-05-08,2026-06-07,Continental Steel Supply,MATERIAL,Steel,172000.00,0.00,PENDING,James Wilson,WIRE,05-Steel
JC-041,P003,2026-05-10,2026-06-24,Alpine Plumbing Co,SUBCONTRACTOR,Plumbing,55000.00,0.00,PENDING,Robert Brown,CHECK,15-Mechanical
JC-042,P013,2026-05-12,2026-06-26,Denver Landscaping Group,SUBCONTRACTOR,Landscaping,35000.00,0.00,PENDING,Robert Brown,ACH,02-Sitework
JC-043,P001,2026-03-15,2026-04-14,Peak Electric Co,SUBCONTRACTOR,Electrical,45000.00,12000.00,OVERDUE,Mike Davis,CHECK,16-Electrical
JC-044,P007,2026-03-20,2026-04-04,Peak Electric Co,SUBCONTRACTOR,Electrical,20000.00,0.00,OVERDUE,Mike Davis,WIRE,16-Electrical
JC-045,P002,2026-03-25,2026-04-09,Rocky Mountain Plumbing,SUBCONTRACTOR,Plumbing,52000.00,12000.00,OVERDUE,Sarah Johnson,CHECK,15-Mechanical
JC-046,P009,2026-04-01,2026-04-16,Rocky Mountain Plumbing,SUBCONTRACTOR,Plumbing,88000.00,0.00,OVERDUE,Emily Chen,WIRE,15-Mechanical
JC-047,P013,2026-03-15,2026-04-14,Summit Concrete Works,SUBCONTRACTOR,Concrete,135000.00,45000.00,OVERDUE,Robert Brown,CHECK,03-Concrete
JC-048,P005,2026-04-05,2026-05-05,Summit Concrete Works,SUBCONTRACTOR,Concrete,72000.00,0.00,OVERDUE,James Wilson,ACH,03-Concrete
JC-049,P003,2026-04-10,2026-05-10,Apex Equipment Rental,EQUIPMENT,Equipment,28000.00,0.00,OVERDUE,Robert Brown,CHECK,01-GenReq
JC-050,P011,2026-04-15,2026-05-15,Mountain Lumber Co,MATERIAL,Framing,24000.00,8000.00,OVERDUE,Sarah Johnson,ACH,06-Framing
